,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,n_articles
3191,Feyenoord met Van Persie én Jörgensen tegen Stams PEC Zwolle,Trainer Stam beleeft droomdebuut bij PEC met zege op Feyenoord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
781,Israëlisch hackbedrijf 'onderzoekt misbruik' na groot WhatsApp-lek,Whatsapp dicht spyware-lek in beveiliging,WhatsApp dicht lek in systeem: één keer bellen en je kon gehackt zijn,'Ernstig lek in WhatsApp maakte afluisteren op smartphones mogelijk',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
4808,Taylor Swift lanceert nieuwe single mét videoclip,Taylor Swift lanceert samenwerking met zanger Panic! At The Disco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1894,Armeens gezin moet definitief het land uit,Armeens gezin in Haagse kerk moet definitief Nederland verlaten,Armeens gezin in kerk hoopt voor Kerst uitsluitsel over verblijf te krijgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
4744,Alarm om gebruik verslavende pijnstillers,Kabinet wil gebruik verslavende pijnstillers intomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1188,Krezip kondigt tweede show in Ziggo Dome aan,Krezip voegt derde concert toe aan reeks in Ziggo Dome,"Eerste twee concerten Krezip in Ziggo Dome uitverkocht, band kondigt derde show aan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
2213,Barend van Deelen tekent voor drie jaar extra bij Radio 538,Barend van Deelen tekent voor drie jaar extra bij Radio 538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4931,Verstappen blijft na Grand Prix in Bahrein voor test,Formule 1 gaat besparen in onder meer velgen en remmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5968,Haarlem en Rotterdam in wereldwijde top 10 met dodelijkste verkeersuitstoot,Haarlem en Rotterdam in top 10 doden door verkeersuitstoot wereldwijd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5234,"Actrice Olivia Colman speelt ongelukkige, vileine koningin",Olivia Colman: Queen Anne was krankjorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
