,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,n_articles
2392,Dj's Top 2000 trappen stemweek af in Utrecht: hele week samen in bus,Dj's Top 2000 weer met Stembus door Nederland,,,,,,,,,,,,,,,,,,,,2
5039,Afrika Cup wordt komende zomer in Egypte gespeeld,Egypte vervangt Kameroen als organisator Afrika Cup 2019,,,,,,,,,,,,,,,,,,,,2
3288,Moeder Nancy over zoon Orlando: 'Verdriet wordt elke dag groter',Moeder Nancy over onopgeloste zaak zoon Orlando: 'Verdriet wordt elke dag groter',,,,,,,,,,,,,,,,,,,,2
3916,De Vrij op de bank tegen Juventus,De Vrij op de bank tegen Juventus,,,,,,,,,,,,,,,,,,,,2
3525,Defense for Children: ‘Politie liet steken vallen bij arrestatie 16-jarig meisje’,Defense for Children: ‘Politie liet steken vallen bij arrestatie 16-jarig meisje’,,,,,,,,,,,,,,,,,,,,2
1674,Pleidooi Rotterdam leidt tot onderzoek rijk naar aparte opvang kansloze asielzoekers,Rotterdam: kansloze asielzoekers in lege jeugdbajes,,,,,,,,,,,,,,,,,,,,2
143,Tientallen voetbalsupporters verzamelen zich op Malieveld in Den Haag,Ajax-supporters verzamelen zich bij stadion van ADO Den Haag,Ajax-supporters verzamelen zich op Malieveld voor demonstratie,ADO-supporters verzamelen zich op Plein,‘Personen’ verzamelen zich bij stadion van ADO Den Haag,Demonstratie Ajax-supporters in Den Haag verplaatst wegens grimmige sfeer,,,,,,,,,,,,,,,,6
429,18 duizend jongeren halen vaccinatie tegen gevaarlijke meningokokken niet op,18.000 tieners negeren oproep voor inenting tegen meningokokken,'Opkomst voor meningokokken-prik in Zeeland en Amsterdam baart zorgen',"18.000 tieners zien af van prik, ook al vielen er sinds 2015 al 41 doden door meningokokken",,,,,,,,,,,,,,,,,,4
4929,Rutten verliest weer met Anderlecht en ziet concurrentie uit zicht verdwijnen,Rutten verliest met Anderlecht in play-offs thuis van Royal Antwerp,,,,,,,,,,,,,,,,,,,,2
1129,"Renners Bouwman, Tolhoek en Kuss twee jaar langer bij Jumbo-Visma",Jumbo-Visma geeft talentvolle knechten Roglic contractverlenging,Jumbo-Visma geeft talentvolle knechten Roglic contractverlenging,,,,,,,,,,,,,,,,,,,3
2087,James passeert Michael Jordan op topscorerslijst aller tijden in NBA,James passeert Jordan op topscorerslijst NBA,,,,,,,,,,,,,,,,,,,,2
4967,"Musicals en opera vaker bezocht, belangstelling voor dans en toneel laag","Nederlanders vaker naar muziektheater, minder naar toneel",,,,,,,,,,,,,,,,,,,,2
192,Bertens verslaat Ostapenko in Madrid en vraagt Sluiter een kauwgompje te pakken,Bertens zeer overtuigend naar kwartfinale Madrid,Bertens stoot zonder setverlies door naar achtste finales in Madrid,Bertens verslaat Ostapenko in Madrid,Bertens begint graveltoernooi van Madrid met overtuigende zege,,,,,,,,,,,,,,,,,5
