;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;n_articles;n_correct;comments
2600;De klant bepaalt bij deze bank wat de bankmedewerker aan heeft;Bij deze bank beslis jij hoe de adviseur gekleed gaat;;;;;;;;;;;;;;2;2;
430;Politie: mysterieuze messentrekker Castricum stak in op drie vrouwen;Aangereden vrouwen Noord-Holland net als hardloper mogelijk ook neergestoken;Politie: mysterieuze messentrekker Egmond stak in op drie vrouwen;;;;;;;;;;;;;3;2;
2471;Büchli en Wild pakken goud in Londen;Büchli pakt ook goud in Londen op keirin;;;;;;;;;;;;;;2;2;
820;Uitblinker Mous houdt hoop Cambuur levend tegen ideeëloos Graafschap;Uitblinker Mous houdt hoop Cambuur levend tegen ideeënloos Graafschap;;;;;;;;;;;;;;2;2;
818;Beau van Erven Dorens praat met RTL over late night-show;Beau van Erven Dorens praat met RTL over latenightshow;;;;;;;;;;;;;;2;2;
1215;Wetenschappers vinden variaties;Onderzoekers vinden twaalf genetische variaties die ADHD veroorzaken;;;;;;;;;;;;;;2;2;
3111;Dit viel op in de openbaar gemaakte stukken van het Ruslandonderzoek;Amerikaanse minister van Justitie maakt eindrapport Ruslandonderzoek openbaar;;;;;;;;;;;;;;2;2;
1919;Eeuwenoud rijtuig opgegraven in China;Eeuwenoud rijtuig opgegraven in China;;;;;;;;;;;;;;2;2;
1881;Ontevreden Seuntjens per direct weg bij VVV;VVV-Venlo ontbindt contract van uit gratie geraakte Ralf Seuntjens;;;;;;;;;;;;;;2;2;
176;Monique in de ban van mysterieus bolletje en Dries Roelvink genegeerd in Londen;Monique in de ban van mysterieus lichtbolletje en Xelly happy met babybuik;Zwangere Joëlle nog één keer weg en Miljuschka schaamt zich niet voor melksnor;Dochtertje Waylon wordt president en Bobbi Eden breidt haakimperium uit;;;;;;;;;;;;4;1;
2811;'VodafoneZiggo daagt T-Mobile voor de rechter vanwege misleidende reclame';VodafoneZiggo klaagt T-Mobile aan om reclame over prijsverhogingen;;;;;;;;;;;;;;2;2;
2270;Met overname van Sandd wordt PostNL opnieuw monopolist. Wat kunnen we leren van poging tot privatisering postmarkt?;Fusie PostNL en Sandd moet postbezorging redden;;;;;;;;;;;;;;2;2;
3241;Vijftien doden bij Franse luchtaanval Mali;Vijftien vermeende terroristen gedood bij Franse luchtaanval Mali;;;;;;;;;;;;;;2;2;
3823;Kromowidjojo sluit Swim Cup Eindhoven af met winst op 50 vrij;Kromowidjojo wint 50 meter vrij ook in Eindhoven;;;;;;;;;;;;;;2;2;
2457;In genade aangenomen Kepa helpt Chelsea aan zege bij Fulham;In genade aangenomen Kepa helpt Chelsea aan zege bij Fulham;;;;;;;;;;;;;;2;2;
3825;Need for Speed: automobilist heeft achttien (!) keer teveel amfetamine in z’n bloed;Need for Speed: automobilist heeft achttien (!) keer te veel amfetamine in z’n bloed;;;;;;;;;;;;;;2;2;
1302;Celstraffen geëist tegen Russische voetballers;Celstraffen voor Russische internationals Mamajev en Kokorin;;;;;;;;;;;;;;2;2;
962;Limburg gaat overlastgevende wasberen afschieten;Provincie Limburg gaat akkoord met afschieten wasberen;;;;;;;;;;;;;;2;2;
3811;Wat Eten We Vandaag: Gnocchi in gepofte paprika-wortelsaus;Wat Eten We Vandaag: Gnocchi in gepofte paprika-wortelsaus;;;;;;;;;;;;;;2;2;
1493;Nieuwe president Kazachstan wil hoofdstad naam van voorganger geven;Nieuwe Kazachse president wil hoofdstad Astana vernoemen naar voorganger;;;;;;;;;;;;;;2;2;
825;Herstelde Van de Sanden en Dekker terug in selectie Oranjevrouwen;Voetbalsters Van de Sanden en Dekker terug bij Oranje;;;;;;;;;;;;;;2;2;
1335;Nederlandse Jesse Bleekemolen (21) in gesprek met filmstudio MGM;Fataal-regisseur Jesse Bleekemolen zet Nederlandse tak MGM op;;;;;;;;;;;;;;2;2;
1672;Helft tv-kijkers stemt af op debat Baudet versus Rutte;Debat tussen Baudet en Rutte trekt 1,5 miljoen kijkers;;;;;;;;;;;;;;2;2;
1838;Utrecht betaalde aannemer mogelijk miljoenen te veel voor Uithoflijn;Provincie Utrecht betaalde aannemer mogelijk miljoenen te veel voor Uithoflijn;;;;;;;;;;;;;;2;2;
685;'EU bespreekt opties voor onder voorwaarden uitstellen brexit';'EU bereid brexit - onder voorwaarden - uit te stellen tot 22 mei';;;;;;;;;;;;;;2;2;
3845;Sabia geeft playboygeld uit aan partijtje en Fred spot witte legging-horror;Sabia geeft playboygeld uit aan partijtje en Fred spot legginghorror;;;;;;;;;;;;;;2;2;
11;RTL Late Night en Twan Huys was gedoemd te mislukken;RTL Late Night met Twan Huys stopt, maandag laatste uitzending;Twan Huys over laatste RTL Late Night: 'Geen spijt van dit avontuur';787.000 kijkers voor laatste RTL Late Night met Twan Huys;RTL trekt stekker uit RTL Late Night met Twan Huys;Overzicht: Zo kwam RTL Late Night ten einde;Afscheidscadeau voor afzwaaier Twan Huys: een pannenonderzetter;RTL stopt per direct met RTL Late Night en Twan Huys;;;;;;;;8;3;
113;Justin Timberlake zegt opnieuw concert af;Justin Timberlake cancelt rest van optredens;Justin Timberlake zegt opnieuw concert af wegens stemproblemen;Justin Timberlake cancelt alle optredens voor de rest van het jaar;;;;;;;;;;;;4;4;
965;Twee doden bij krachtige aardbeving Chili;Krachtige aardbeving voor Chileense kust;;;;;;;;;;;;;;2;2;
3479;VVV-Venlo zet vertrekkende Seuntjens uit selectie;VVV-Venlo zet Seuntjens om disciplinaire redenen uit selectie;;;;;;;;;;;;;;2;2;
3053;Hoe lopen de Europese topcompetities af?;Polls | Hoe lopen de Europese topcompetities af?;;;;;;;;;;;;;;2;2;
391;Chelsea straft Kepa met week zonder salaris na weigeren wissel;Chelsea straft Kepa na weigeren wissel;Chelsea-keeper Kepa verbannen naar de bank na wisselincident;;;;;;;;;;;;;3;3;
3481;‘Ondernemersruzie’ op Amsterdamse markt met mes beslecht: twee gewonden;‘Ondernemersruzie’ op Amsterdamse markt met ‘zwaard’ beslecht: twee gewonden;;;;;;;;;;;;;;2;2;
1278;Boeing aangeklaagd door familie van slachtoffer vliegramp Ethiopië;Familie klaagt Boeing aan na vliegtuigcrash;;;;;;;;;;;;;;2;2;
1487;Fiat Centoventi moet meest betaalbare EV ter wereld worden;Dit moet de goedkoopste elektrische auto ter wereld worden;;;;;;;;;;;;;;2;2;
2798;De Lama's geven extra show in Ziggo Dome;De Lama's geven extra show in Ziggo Dome;;;;;;;;;;;;;;2;2;
2697;Olcay is toe aan nieuw hoofdstuk, Fajah zet knop om;Claudia heeft nieuwe fetish en Jochem op de thee bij weduwe Wolkers;;;;;;;;;;;;;;2;1;
1202;Belg Keisse uit Ronde van San Juan gezet vanwege obsceen gedrag;Keisse uit koers gezet na klacht vanwege seksistische foto;;;;;;;;;;;;;;2;2;
3453;Constitutioneel Hof Congo roept Tshisekedi uit tot president;Tshisekedi officieel uitgeroepen tot president Congo;;;;;;;;;;;;;;2;2;
3461;Man opgepakt in verdwijningszaak Belgische studente Julie Van Espen;Belgische agenten zoeken naar vermiste Julie Van Espen (23);;;;;;;;;;;;;;2;1;
2299;Zidane ziet veel positieve punten na rentree bij winnend Real Madrid;Isco en Bale bezorgen Zidane winst bij rentree als Real Madrid-coach;;;;;;;;;;;;;;2;2;
702;Raptors naar finale in oosten NBA na bizar schot in de zoemer;Raptors in zoemer naar finale Eastern Conference NBA;;;;;;;;;;;;;;2;2;
2580;Schade jaarwisseling 15 tot 20 miljoen euro (exclusief vonkenregen Scheveningen);Schade van jaarwisseling stijgt naar minimaal 15 miljoen euro;;;;;;;;;;;;;;2;2;
3266;Voormalig Luxemburgs staatshoofd groothertog Jean (98) overleden;Groothertog Jean (98) van Luxemburg overleden;;;;;;;;;;;;;;2;2;
2351;Grapperhaus: alle onvrijwillige seks wordt strafbaar;'Wetsvoorstel Grapperhaus om alle onvrijwillige seks strafbaar te maken';;;;;;;;;;;;;;2;2;
2278;Zwanenburgbaan Schiphol zes weken dicht;Kaagbaan Schiphol eerder heropend dan gepland;;;;;;;;;;;;;;2;1;
133;Nederland in gesprek met Rusland over aansprakelijkheid MH17;Nederland en Australië in gesprek met Rusland over aansprakelijkheid MH17;Nederland gaat met Rusland praten over aansprakelijkheid MH17;Binnenkort diplomatiek overleg tussen Nederland en Rusland over neerhalen MH17;;;;;;;;;;;;4;4;
3439;Johan Derksen: Minister is welkom voor gesprek over homo-uitspraken;Johan Derksen: Minister is altijd welkom voor gesprek over homo-uitspraken;;;;;;;;;;;;;;2;2;
2793;Clubicoon De Rossi (35) vertrekt na achttien jaar bij AS Roma;Clubicoon De Rossi verlaat AS Roma na 18 jaar;;;;;;;;;;;;;;2;2;
1116;'Ajax is een omgekeerde wasstraat: schoon erin, vies eruit’;Het jaar van Frenkie de Jong: Als ik terugkijk was het niet alleen maar positief;;;;;;;;;;;;;;2;2;
2369;Dubbele stempassen Europese verkiezingen verstuurd aan twee Brabantse dorpen;Dubbele stempassen Europese verkiezingen verstuurd in Brabant;;;;;;;;;;;;;;2;2;
2060;Nog drie Nederlandse gewonden in ziekenhuis na bootongeluk België;OM België start onderzoek naar bootongeluk met 20 Nederlandse gewonden;;;;;;;;;;;;;;2;2;
1848;Jongetje dat uit rups viel, heeft hersenschudding;Kermisexploitant: Jongetje stond tijdens rit in de rups en verloor evenwicht;;;;;;;;;;;;;;2;2;
3141;Notts County daalt na 131 jaar voor het eerst af naar amateurs;Oudste club van Engeland degradeert uit profvoetbal;;;;;;;;;;;;;;2;2;
3809;Profiel Doris Day: Iconische actrice leidde na carrière teruggetrokken leven;Doris Day had uitstraling van de eeuwige maagd;;;;;;;;;;;;;;2;2;
788;Beroepsverbod voor ABN-adviseurs na kopiëren handtekeningen;61 hypotheekadviseurs krijgen beroepsverbod om kopiëren handtekeningen;;;;;;;;;;;;;;2;2;
611;Pelé: Gordon Banks kon toveren;Engelse keeperslegende Gordon Banks (81) overleden;Legendarische oud-doelman Gordon Banks (81) overleden;;;;;;;;;;;;;3;3;
3446;Eerste warme dag van het voorjaar is een feit: 20 graden!;Lentewarmte blijft niet lang;;;;;;;;;;;;;;2;2;
1649;Ook handbalster Abbingh hekelt 'slopend' speelschema Oranje op EK;Aanvoerster Abbingh heeft zin in halve finale: ‘We staan er gewoon weer’;;;;;;;;;;;;;;2;2;
3629;Nicolette gaat digitaal detoxen en Freek komt met gruwelijke paasfoto;Anna Nooshin trekt jurkje op in LA en Dave viert Ferrari Friday;;;;;;;;;;;;;;2;1;
2615;Veel Airbnb-verhuurders lappen regels nog aan hun laars;40 procent van Amsterdamse Airbnb-verhuurders verhuurt langer dan 60 dagen;;;;;;;;;;;;;;2;2;
1418;Nederlanders scoren er al 26 jaar op los in Premier League;Nederlanders scoren er structureel op los in Premier League;;;;;;;;;;;;;;2;2;
