;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;n_articles;n_correct;comments
5586;Friese voetbalclub voor de rechter na dodelijk ongeluk met dug-out;‘Friese voetbalclub verantwoordelijk voor dood 10-jarige Yrsa’;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
3353;Politiemol verkocht informatie aan tientallen criminelen en motorbendes;Politiemedewerker Landelijke Eenheid vast op verdenking van doorspelen informatie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2663;Paris SG kan weer 'dubbel' pakken;Pijnlijke avond voor Lyon en Memphis in Franse beker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
5340;Man door geweld omgekomen in café in Nuenen;Dode na geweld in café Brabant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2239;Patricia Paay en Johan Vlemmix treffen schikkking in sekspoppenzaak;Patricia Paay en Johan Vlemmix leggen geschil over sekspop bij;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
5747;Khedira mag na hartoperatie weer voluit gaan;Khedira mag training bij Juventus hervatten na hartritmestoornissen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
5568;Verstappen jaagt op goede tijd in derde training Monaco;Verstappen jaagt op goede tijd in eerste training Monaco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
929;Spurs moet vrezen voor Champions League-ticket na nieuwe domper;'Spurs' verliezen ook in Southampton en lijken titel te kunnen vergeten;Spurs staat eindelijk voor eerste thuiswedstrijd in fonkelnieuw stadion;Tottenham hoopt begin april eindelijk nieuw stadion te openen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;
206;‘Afvallige’ Saoedi (18) verschanst zich in Thais hotel uit angst voor familie;Saoedische vrouw die familie ontvluchtte aangekomen in Canada;Saoedische vrouw: Ik krijg asiel in Australië;‘Afvallige’ Saoedi (18) verschanst zich in Thais hotel uit angst familie;Australië biedt ‘afvallige’ Rahaf hoop;Gevluchte Saoedische Rahaf (18) aangekomen in Canada;Aan familie ontsnapte Saoedische is op ‘veilige plek’ in Thailand;Thaise rechtbank: gevluchte Saoedi (18) mag worden teruggestuurd;Canada verleent asiel aan naar Thailand gevluchte Saoedische vrouw;Saoedische vrouwen krijgen voortaan sms als hun man van ze is gescheiden;Canadese premier bevestigt asiel voor gevluchte Saudische tiener;Aan familie ontsnapte Saoedische vrouw krijgt van VN vluchtelingenstatus;Canadese premier bevestigt asiel voor gevluchte Saoedische tiener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;3;
5036;Ook Arantxa Rus laat Fed Cup-ontmoeting met Japan schieten;Rus maakt geen deel uit van selectie in Fed Cup;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
4396;Onana valt af voor Afrikaans voetballer 2018;Ajax-doelman Onana valt af voor titel Afrikaans voetballer van het jaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
5526;Dit moet je weten over het Bloemencorso in Haarlem;Bloemencorso van de Bollenstreek rijdt naar Haarlem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1555;Dode Wilnis blijkt bekende van in Mijdrecht gedode vrouw;Overleden man Wilnis was vrijgesproken van stalken dode vrouw Mijdrecht;Politie onderzoekt schietpartij Mijdrecht, ook lichaam gevonden in Wilnis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;
3678;Negen skiërs omgekomen bij lawines Italië;Zeker acht skiërs omgekomen door lawines in Italiaanse Alpen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
4438;Vier mensen doodgeschoten in straal van vijf kilometer in Canada, slachtoffers kenden elkaar;Vier mensen doodgeschoten in straal van vijf kilometer in Canada, slachtoffers kenden elkaar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
589;Verdachte van doodschieten Humeyra blijft langer vastzitten;Derde aanhouding in zaak rond doodgeschoten scholier Humeyra;Tweede verdachte in moordzaak Humeyra op vrije voeten;Politie houdt weer verdachte aan in zaak Humeyra (16);Dit is wat we weten over de dood van de scholiere Humeyra;Rechter beslist vandaag over voorarrest Bekir E.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;2;
4933;Etappeschema Giro 2019;Klassementen Giro 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2435;Bonus van 405 euro voor docent die griepprik haalt;Halen griepprik levert deze docenten een bonus op;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
1252;Politie mag beelden van 200.000 beveiligingscamera's inzien;Campagne voor betere camerabeveiliging: ‘kans op opsporing en vervolging vergroten’;Politie kan 200.000 privé-camera's gebruiken, maar wil er nog véél meer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;
2433;Jonna Fraser vader geworden van zoon;Rapper Jonna Fraser vader geworden van zoon Ace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
2285;Vloet vervolgt loopbaan in België;Rai Vloet per direct weg bij Serie A-club Frosinone;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;
3610;Extra voorstellingen voor succesmusical Evita;Producent boekt extra voorstellingen musical Evita in bij theaters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;
